ID,CreatedAt,Phone,Net Model,Model Median,Model mAP,Batch size,Delegate
5pzprc4aoZFDri0aYUmC,2024-09-03 19:45:03.838000+00:00,Samsung Galaxy S24,mobilenet_v1_1.0_224,9707578,70.9,2,GPU
ABXRJ4mI32SodAmShonD,2024-09-10 17:50:27.668000+00:00,Samsung Galaxy S23,mobilenet_v3_1.0_224_small_uint8,36778593,64.9,4,NNAPI
ABXRJ4mI32SodAmShonD,2024-09-10 17:50:27.668000+00:00,Samsung Galaxy S23,mobilenet_v3_1.0_224_uint8,98670182,73.9,4,NNAPI
ABXRJ4mI32SodAmShonD,2024-09-10 17:50:27.668000+00:00,Samsung Galaxy S23,mobilenet_v3_1.0_224_small_minimalistic,15795130,61.9,4,NNAPI
ABXRJ4mI32SodAmShonD,2024-09-10 17:50:27.668000+00:00,Samsung Galaxy S23,mobilenet_v3_1.0_224_large_minimalistic_uint8,71388203,71.3,4,NNAPI
ABXRJ4mI32SodAmShonD,2024-09-10 17:50:27.668000+00:00,Samsung Galaxy S23,mobilenet_v3_1.0_224_large_minimalistic,52633958,72.3,4,NNAPI
ABXRJ4mI32SodAmShonD,2024-09-10 17:50:27.668000+00:00,Samsung Galaxy S23,mobilenet_v3_1.0_224_small,19962526,67.5,4,NNAPI
ABXRJ4mI32SodAmShonD,2024-09-10 17:50:27.668000+00:00,Samsung Galaxy S23,mobilenet_v3_1.0_224_large,62204661,75.2,4,NNAPI
902YuoCdQAboaPMVeujZ,2024-09-10 18:03:10.466000+00:00,Samsung Galaxy S23,mobilenet_v1_1.0_224_quant,190877161,70.1,16,CPU4
902YuoCdQAboaPMVeujZ,2024-09-10 18:03:10.466000+00:00,Samsung Galaxy S23,mobilenet_v1_1.0_224,201148776,70.9,16,CPU4
FRZVMFUMnmBKUn22t3Jo,2024-09-06 14:14:58.809000+00:00,OnePlus 9 Pro,mobilenet_v3_1.0_224_small_uint8,236397604,64.9,16,CPU
FRZVMFUMnmBKUn22t3Jo,2024-09-06 14:14:58.809000+00:00,OnePlus 9 Pro,mobilenet_v3_1.0_224_uint8,629919323,73.9,16,CPU
FRZVMFUMnmBKUn22t3Jo,2024-09-06 14:14:58.809000+00:00,OnePlus 9 Pro,mobilenet_v3_1.0_224_small_minimalistic,107202083,61.9,16,CPU
FRZVMFUMnmBKUn22t3Jo,2024-09-06 14:14:58.809000+00:00,OnePlus 9 Pro,mobilenet_v3_1.0_224_large_minimalistic_uint8,440733202,71.3,16,CPU
FRZVMFUMnmBKUn22t3Jo,2024-09-06 14:14:58.809000+00:00,OnePlus 9 Pro,mobilenet_v3_1.0_224_large_minimalistic,329746093,72.3,16,CPU
FRZVMFUMnmBKUn22t3Jo,2024-09-06 14:14:58.809000+00:00,OnePlus 9 Pro,mobilenet_v3_1.0_224_small,126973333,67.5,16,CPU
FRZVMFUMnmBKUn22t3Jo,2024-09-06 14:14:58.809000+00:00,OnePlus 9 Pro,mobilenet_v3_1.0_224_large,418138879,75.2,16,CPU
7lMGqjc7jn8LdA2ebLYd,2024-09-06 12:12:27.676000+00:00,Motorola Razr 50 Ultra,mobilenet_v2_1.0_224_quant,319797213,71.8,16,CPU4
7lMGqjc7jn8LdA2ebLYd,2024-09-06 12:12:27.676000+00:00,Motorola Razr 50 Ultra,mobilenet_v2_1.0_224,192459062,71.8,16,CPU4
4UJ9nkM88yq3JJLnlZJg,2024-09-03 19:11:43.723000+00:00,Samsung Galaxy S24,mobilenet_v1_1.0_224_quant,152711152,70.1,8,CPU
4UJ9nkM88yq3JJLnlZJg,2024-09-03 19:11:43.723000+00:00,Samsung Galaxy S24,mobilenet_v1_1.0_224,258044355,70.9,8,CPU
F73m5SSqdDrnnMCetHNE,2024-09-06 14:08:29.867000+00:00,OnePlus 9 Pro,mobilenet_v1_1.0_224_quant,165413333,70.1,8,CPU
F73m5SSqdDrnnMCetHNE,2024-09-06 14:08:29.867000+00:00,OnePlus 9 Pro,mobilenet_v1_1.0_224,355201172,70.9,8,CPU
gv8pkAtSlkhxTzXw1uXk,2024-09-10 17:53:02.071000+00:00,Xiaomi MI 9,mobilenet_v1_1.0_224_quant,207042682,70.1,8,NNAPI
gv8pkAtSlkhxTzXw1uXk,2024-09-10 17:53:02.071000+00:00,Xiaomi MI 9,mobilenet_v1_1.0_224,81567161,70.9,8,NNAPI
tELA6BB3BVLBrW5wlBZb,2024-09-10 18:12:09.662000+00:00,Xiaomi MI 9,mobilenet_v1_1.0_224,11440911,70.9,2,GPU
mFu5ldOvSyhGqPKNC7Sb,2024-09-06 11:42:34.549000+00:00,Motorola Razr 50 Ultra,mobilenet_v2_1.0_224_quant,432362395,71.8,16,CPU
mFu5ldOvSyhGqPKNC7Sb,2024-09-06 11:42:34.549000+00:00,Motorola Razr 50 Ultra,mobilenet_v2_1.0_224,511146041,71.8,16,CPU
KtffDMqFjyFRuCabknLL,2024-09-06 14:46:40.654000+00:00,OnePlus 9 Pro,mobilenet_v2_1.0_224_quant,281091666,71.8,16,CPU4
KtffDMqFjyFRuCabknLL,2024-09-06 14:46:40.654000+00:00,OnePlus 9 Pro,mobilenet_v2_1.0_224,202837578,71.8,16,CPU4
X3ZevoQ38iT3ZXSuOMzn,2024-09-05 15:42:38.059000+00:00,Samsung Galaxy S21,mobilenet_v1_1.0_224_quant,147197192,70.1,4,NNAPI
X3ZevoQ38iT3ZXSuOMzn,2024-09-05 15:42:38.059000+00:00,Samsung Galaxy S21,mobilenet_v1_1.0_224,81876923,70.9,4,NNAPI
XELikWd6rBctKpaCLo2u,2024-09-03 20:06:06.365000+00:00,Samsung Galaxy S24,mobilenet_v1_1.0_224_quant,227768965,70.1,16,CPU4
XELikWd6rBctKpaCLo2u,2024-09-03 20:06:06.365000+00:00,Samsung Galaxy S24,mobilenet_v1_1.0_224,232432090,70.9,16,CPU4
5YmH7mC4nYFLeOhg7jnw,2024-09-06 14:43:15.090000+00:00,OnePlus 9 Pro,mobilenet_v1_0.25_192,1878151,47.7,1,CPU4
5YmH7mC4nYFLeOhg7jnw,2024-09-06 14:43:15.090000+00:00,OnePlus 9 Pro,mobilenet_v1_0.75_224,11098906,68.4,1,CPU4
5YmH7mC4nYFLeOhg7jnw,2024-09-06 14:43:15.090000+00:00,OnePlus 9 Pro,mobilenet_v1_0.75_160,5325104,65.3,1,CPU4
5YmH7mC4nYFLeOhg7jnw,2024-09-06 14:43:15.090000+00:00,OnePlus 9 Pro,mobilenet_v1_0.25_160,1567395,45.5,1,CPU4
5YmH7mC4nYFLeOhg7jnw,2024-09-06 14:43:15.090000+00:00,OnePlus 9 Pro,mobilenet_v1_0.5_128_quant,1728854,54.5,1,CPU4
5YmH7mC4nYFLeOhg7jnw,2024-09-06 14:43:15.090000+00:00,OnePlus 9 Pro,mobilenet_v1_0.5_192_quant,3830807,60.0,1,CPU4
5YmH7mC4nYFLeOhg7jnw,2024-09-06 14:43:15.090000+00:00,OnePlus 9 Pro,mobilenet_v1_1.0_128_quant,4129844,63.4,1,CPU4
5YmH7mC4nYFLeOhg7jnw,2024-09-06 14:43:15.090000+00:00,OnePlus 9 Pro,mobilenet_v1_1.0_192_quant,8918776,69.2,1,CPU4
5YmH7mC4nYFLeOhg7jnw,2024-09-06 14:43:15.090000+00:00,OnePlus 9 Pro,mobilenet_v1_1.0_192,11095000,70.0,1,CPU4
5YmH7mC4nYFLeOhg7jnw,2024-09-06 14:43:15.090000+00:00,OnePlus 9 Pro,mobilenet_v1_0.5_224_quant,4900573,60.7,1,CPU4
5YmH7mC4nYFLeOhg7jnw,2024-09-06 14:43:15.090000+00:00,OnePlus 9 Pro,mobilenet_v1_0.75_192,7120443,67.2,1,CPU4
5YmH7mC4nYFLeOhg7jnw,2024-09-06 14:43:15.090000+00:00,OnePlus 9 Pro,mobilenet_v1_1.0_160,8249947,68.0,1,CPU4
5YmH7mC4nYFLeOhg7jnw,2024-09-06 14:43:15.090000+00:00,OnePlus 9 Pro,mobilenet_v1_0.25_192_quant,2030208,46.0,1,CPU4
5YmH7mC4nYFLeOhg7jnw,2024-09-06 14:43:15.090000+00:00,OnePlus 9 Pro,mobilenet_v1_0.75_128_quant,2824713,55.8,1,CPU4
5YmH7mC4nYFLeOhg7jnw,2024-09-06 14:43:15.090000+00:00,OnePlus 9 Pro,mobilenet_v1_0.25_224_quant,2630156,48.0,1,CPU4
5YmH7mC4nYFLeOhg7jnw,2024-09-06 14:43:15.090000+00:00,OnePlus 9 Pro,mobilenet_v1_0.75_192_quant,6103775,66.1,1,CPU4
5YmH7mC4nYFLeOhg7jnw,2024-09-06 14:43:15.090000+00:00,OnePlus 9 Pro,mobilenet_v1_0.75_224_quant,8244479,66.8,1,CPU4
5YmH7mC4nYFLeOhg7jnw,2024-09-06 14:43:15.090000+00:00,OnePlus 9 Pro,mobilenet_v1_0.75_128,3720547,62.1,1,CPU4
5YmH7mC4nYFLeOhg7jnw,2024-09-06 14:43:15.090000+00:00,OnePlus 9 Pro,mobilenet_v1_1.0_128,5478203,65.2,1,CPU4
5YmH7mC4nYFLeOhg7jnw,2024-09-06 14:43:15.090000+00:00,OnePlus 9 Pro,mobilenet_v1_0.5_224,5507968,63.3,1,CPU4
5YmH7mC4nYFLeOhg7jnw,2024-09-06 14:43:15.090000+00:00,OnePlus 9 Pro,mobilenet_v1_0.5_160_quant,2575547,57.7,1,CPU4
5YmH7mC4nYFLeOhg7jnw,2024-09-06 14:43:15.090000+00:00,OnePlus 9 Pro,mobilenet_v1_0.25_128,934401,41.5,1,CPU4
