ID,CreatedAt,Phone,Net Model,Model Median,Model mAP,Delegate
MUfY108ADbkOp8kt8nIJ,2024-09-14 14:23:55.919000+00:00,Samsung Galaxy S21,MobileNetV3-large,104996865,22.6,CPU6
MUfY108ADbkOp8kt8nIJ,2024-09-14 14:23:55.919000+00:00,Samsung Galaxy S21,MobileNetV2,47772673,22.0,CPU6
MUfY108ADbkOp8kt8nIJ,2024-09-14 14:23:55.919000+00:00,Samsung Galaxy S21,YoloV5s,441701788,36.7,CPU6
MUfY108ADbkOp8kt8nIJ,2024-09-14 14:23:55.919000+00:00,Samsung Galaxy S21,MobileNetV3-small,90599519,15.4,CPU6
MUfY108ADbkOp8kt8nIJ,2024-09-14 14:23:55.919000+00:00,Samsung Galaxy S21,MobileNetV1,67103788,18.0,CPU6
UQ2xEJU8R3pRPTTX15Qf,2024-09-14 13:49:36.175000+00:00,Samsung Galaxy S21,MobileNetV3-large,64362289,22.6,CPU5
UQ2xEJU8R3pRPTTX15Qf,2024-09-14 13:49:36.175000+00:00,Samsung Galaxy S21,MobileNetV2,17331788,22.0,CPU5
UQ2xEJU8R3pRPTTX15Qf,2024-09-14 13:49:36.175000+00:00,Samsung Galaxy S21,YoloV5s,377477923,36.7,CPU5
UQ2xEJU8R3pRPTTX15Qf,2024-09-14 13:49:36.175000+00:00,Samsung Galaxy S21,MobileNetV3-small,42604250,15.4,CPU5
UQ2xEJU8R3pRPTTX15Qf,2024-09-14 13:49:36.175000+00:00,Samsung Galaxy S21,MobileNetV1,36404134,18.0,CPU5
E01BpTQccEn8g0px5oWV,2024-09-14 13:53:03.821000+00:00,Samsung Galaxy S24,MobileNetV3-large,36160273,22.6,CPU1
E01BpTQccEn8g0px5oWV,2024-09-14 13:53:03.821000+00:00,Samsung Galaxy S24,MobileNetV2,6074433,22.0,CPU1
E01BpTQccEn8g0px5oWV,2024-09-14 13:53:03.821000+00:00,Samsung Galaxy S24,YoloV5s,399332480,36.7,CPU1
E01BpTQccEn8g0px5oWV,2024-09-14 13:53:03.821000+00:00,Samsung Galaxy S24,MobileNetV3-small,12648281,15.4,CPU1
E01BpTQccEn8g0px5oWV,2024-09-14 13:53:03.821000+00:00,Samsung Galaxy S24,MobileNetV1,16077949,18.0,CPU1
TIaKhPvQ41vMpoOvTO65,2024-09-14 18:06:37.906000+00:00,Motorola Razr 50 Ultra,MobileNetV3-large,20704713,22.6,CPU5
TIaKhPvQ41vMpoOvTO65,2024-09-14 18:06:37.906000+00:00,Motorola Razr 50 Ultra,MobileNetV2,8027161,22.0,CPU5
TIaKhPvQ41vMpoOvTO65,2024-09-14 18:06:37.906000+00:00,Motorola Razr 50 Ultra,YoloV5s,203083568,36.7,CPU5
TIaKhPvQ41vMpoOvTO65,2024-09-14 18:06:37.906000+00:00,Motorola Razr 50 Ultra,MobileNetV3-small,20160000,15.4,CPU5
TIaKhPvQ41vMpoOvTO65,2024-09-14 18:06:37.906000+00:00,Motorola Razr 50 Ultra,MobileNetV1,18136901,18.0,CPU5
EvCrvLYdwHetd91PvKNG,2024-09-10 19:08:42.224000+00:00,Samsung Galaxy S24,MobileNetV3-large,30271465,22.6,CPU2
EvCrvLYdwHetd91PvKNG,2024-09-10 19:08:42.224000+00:00,Samsung Galaxy S24,MobileNetV2,9564942,22.0,CPU2
EvCrvLYdwHetd91PvKNG,2024-09-10 19:08:42.224000+00:00,Samsung Galaxy S24,YoloV5s,363931328,36.7,CPU2
EvCrvLYdwHetd91PvKNG,2024-09-10 19:08:42.224000+00:00,Samsung Galaxy S24,MobileNetV3-small,16792011,15.4,CPU2
EvCrvLYdwHetd91PvKNG,2024-09-10 19:08:42.224000+00:00,Samsung Galaxy S24,MobileNetV1,16476640,18.0,CPU2
AqG5zKIAsIOlcofwjgy3,2024-09-10 20:08:10.086000+00:00,Samsung Galaxy S24,MobileNetV3-large,21197246,22.6,CPU6
AqG5zKIAsIOlcofwjgy3,2024-09-10 20:08:10.086000+00:00,Samsung Galaxy S24,MobileNetV2,6825547,22.0,CPU6
AqG5zKIAsIOlcofwjgy3,2024-09-10 20:08:10.086000+00:00,Samsung Galaxy S24,YoloV5s,212670019,36.7,CPU6
AqG5zKIAsIOlcofwjgy3,2024-09-10 20:08:10.086000+00:00,Samsung Galaxy S24,MobileNetV3-small,11273750,15.4,CPU6
AqG5zKIAsIOlcofwjgy3,2024-09-10 20:08:10.086000+00:00,Samsung Galaxy S24,MobileNetV1,11758672,18.0,CPU6
osF85hVteLqCjlqgMTyn,2024-09-14 14:30:00.084000+00:00,Samsung Galaxy S24,MobileNetV3-large,22253769,22.6,CPU4
osF85hVteLqCjlqgMTyn,2024-09-14 14:30:00.084000+00:00,Samsung Galaxy S24,MobileNetV2,7774433,22.0,CPU4
osF85hVteLqCjlqgMTyn,2024-09-14 14:30:00.084000+00:00,Samsung Galaxy S24,YoloV5s,256783476,36.7,CPU4
osF85hVteLqCjlqgMTyn,2024-09-14 14:30:00.084000+00:00,Samsung Galaxy S24,MobileNetV3-small,13006152,15.4,CPU4
osF85hVteLqCjlqgMTyn,2024-09-14 14:30:00.084000+00:00,Samsung Galaxy S24,MobileNetV1,13355625,18.0,CPU4
xu2WhYwijPuSQL0CFESp,2024-09-15 11:21:37.641000+00:00,OnePlus 9 Pro,MobileNetV3-large,35181979,22.6,CPU2
xu2WhYwijPuSQL0CFESp,2024-09-15 11:21:37.641000+00:00,OnePlus 9 Pro,MobileNetV2,7445209,22.0,CPU2
xu2WhYwijPuSQL0CFESp,2024-09-15 11:21:37.641000+00:00,OnePlus 9 Pro,YoloV5s,381187370,36.7,CPU2
xu2WhYwijPuSQL0CFESp,2024-09-15 11:21:37.641000+00:00,OnePlus 9 Pro,MobileNetV3-small,17877682,15.4,CPU2
xu2WhYwijPuSQL0CFESp,2024-09-15 11:21:37.641000+00:00,OnePlus 9 Pro,MobileNetV1,13927942,18.0,CPU2
IosbNlNOvOYC2bttT43k,2024-09-15 12:04:19.714000+00:00,OnePlus 9 Pro,MobileNetV3-large,48145494,22.6,CPU5
IosbNlNOvOYC2bttT43k,2024-09-15 12:04:19.714000+00:00,OnePlus 9 Pro,MobileNetV2,17348567,22.0,CPU5
IosbNlNOvOYC2bttT43k,2024-09-15 12:04:19.714000+00:00,OnePlus 9 Pro,YoloV5s,263270963,36.7,CPU5
IosbNlNOvOYC2bttT43k,2024-09-15 12:04:19.714000+00:00,OnePlus 9 Pro,MobileNetV3-small,27019167,15.4,CPU5
IosbNlNOvOYC2bttT43k,2024-09-15 12:04:19.714000+00:00,OnePlus 9 Pro,MobileNetV1,22492812,18.0,CPU5
uZMmZHvHMcwlznfe0wQF,2024-09-14 17:21:01.376000+00:00,Motorola Razr 50 Ultra,MobileNetV3-large,36481979,22.6,CPU1
uZMmZHvHMcwlznfe0wQF,2024-09-14 17:21:01.376000+00:00,Motorola Razr 50 Ultra,MobileNetV2,4813828,22.0,CPU1
uZMmZHvHMcwlznfe0wQF,2024-09-14 17:21:01.376000+00:00,Motorola Razr 50 Ultra,YoloV5s,494716874,36.7,CPU1
uZMmZHvHMcwlznfe0wQF,2024-09-14 17:21:01.376000+00:00,Motorola Razr 50 Ultra,MobileNetV3-small,12725807,15.4,CPU1
uZMmZHvHMcwlznfe0wQF,2024-09-14 17:21:01.376000+00:00,Motorola Razr 50 Ultra,MobileNetV1,11137291,18.0,CPU1
Z8EcYERK8C1p6pxxXJxi,2024-09-10 18:45:25.354000+00:00,Samsung Galaxy S24,MobileNetV3-large,40475000,22.6,CPU1
Z8EcYERK8C1p6pxxXJxi,2024-09-10 18:45:25.354000+00:00,Samsung Galaxy S24,MobileNetV2,6611933,22.0,CPU1
